term,crn,Seats_Capacity,Seats_Actual,Seats_Remaining,Waitlist_Capacity,Waitlist_Actual,Waitlist_Remaining
202501,21641,38,38,0,100,0,100
202501,21638,35,24,11,100,0,100
202501,21691,30,7,23,5,0,5
202501,23089,16,13,3,100,0,100
202409,10159,18,17,1,100,0,100
202501,22584,45,45,0,100,9,91
202409,11339,22,22,0,100,0,100
202409,11352,23,22,1,23,0,23
202409,11704,22,22,0,0,0,0
202409,10104,30,18,12,100,0,100
202409,11394,25,20,5,4,0,4
202409,12544,47,47,0,0,0,0
202501,22210,5,1,4,5,0,5
202501,22258,7,6,1,7,0,7
202501,20995,75,33,42,100,0,100
202501,21271,50,50,0,50,7,43
202409,12924,100,98,2,100,0,100
202501,21465,19,19,0,10,2,8
202409,10162,30,27,3,100,0,100
202409,13788,175,165,10,10,0,10
202501,21562,22,22,0,0,0,0
202409,13016,55,48,7,25,0,25
202409,11404,25,25,0,4,0,4
202409,12085,205,194,11,100,0,100
202409,10467,92,90,2,0,0,0
202501,20828,30,30,0,100,5,95
202409,10238,32,32,0,100,0,100
202409,10953,117,110,7,50,0,50
202501,21416,15,7,8,5,0,5
202501,22566,24,23,1,0,0,0
202501,21474,50,50,0,100,0,100
202501,23504,30,19,11,100,0,100
202501,20343,20,14,6,4,0,4
202501,20292,24,24,0,4,4,0
202409,11262,80,80,0,25,0,25
202501,20097,50,50,0,100,12,88
202409,13957,30,24,6,0,0,0
202501,20213,32,32,0,100,6,94
202501,22245,3,1,2,3,0,3
202501,22299,3,1,2,3,0,3
202409,10247,26,26,0,10,0,10
202501,21264,22,22,0,22,5,17
202409,11021,24,15,9,50,0,50
202501,23564,70,56,14,100,0,100
202501,20045,30,30,0,15,3,12
202409,12687,30,24,6,15,0,15
202501,20631,32,32,0,0,0,0
202501,20650,30,14,16,0,0,0
202409,11191,66,63,3,0,0,0
202501,20309,20,20,0,2,2,0
202501,23457,12,10,2,0,0,0
202409,12352,6,0,6,100,0,100
202409,11422,40,22,18,100,0,100
202409,10656,56,33,23,50,0,50
202409,12385,3,1,2,3,0,3
202501,22840,45,45,0,10,5,5
202409,10590,20,20,0,2,0,2
202501,20888,16,16,0,3,0,3
202409,12759,30,11,19,0,0,0
202409,11001,68,47,21,50,0,50
202409,12445,3,0,3,3,0,3
202409,13000,16,16,0,10,0,10
202501,21982,30,21,9,20,0,20
202501,22573,20,11,9,4,0,4
202409,13981,10,3,7,100,0,100
202409,13122,18,2,16,30,0,30
202501,23446,18,20,-2,0,0,0
202501,23878,4,2,2,0,0,0
202501,21652,50,38,12,100,0,100
202501,21446,10,0,10,100,0,100
202501,21006,70,47,23,100,0,100
202409,12296,60,57,3,100,0,100
202409,11578,50,49,1,100,0,100
202501,21790,20,9,11,20,0,20
202501,23627,20,2,18,0,0,0
202409,11275,31,28,3,30,0,30
202409,12311,5,2,3,5,0,5
202501,20919,30,27,3,42,0,42
202501,20272,24,24,0,4,4,0
202501,22855,90,59,31,10,0,10
202501,23596,30,0,30,0,0,0
202409,11490,16,15,1,1,0,1
202501,20170,30,25,5,0,0,0
202501,23770,10,3,7,100,0,100
202501,22307,5,1,4,5,0,5
202409,12432,5,2,3,5,0,5
202501,21842,28,16,12,100,0,100
202501,22582,9,9,0,0,0,0
202501,23172,24,24,0,100,4,96
202501,21406,16,10,6,5,0,5
202501,21419,32,21,11,30,0,30
202409,11916,50,42,8,50,0,50
202409,10285,24,24,0,4,0,4
202409,11110,60,29,31,100,0,100
202501,22004,24,21,3,0,0,0
202501,23897,100,6,94,100,0,100
202409,10691,58,56,2,25,0,25
202501,21115,31,31,0,0,0,0
202501,20920,20,20,0,50,1,49
202409,12715,24,22,2,0,0,0
202409,12827,15,12,3,0,0,0
202501,23101,2,2,0,100,0,100
202409,11522,67,63,4,10,0,10
202409,12425,5,0,5,5,0,5
202409,12379,5,0,5,5,0,5
202501,21363,75,75,0,100,4,96
202409,12807,110,64,46,100,0,100
202409,11103,93,89,4,100,0,100
202409,12576,35,14,21,20,0,20
202501,20044,30,30,0,15,7,8
202501,22128,5,0,5,5,0,5
202501,21306,22,20,2,4,0,4
202409,11697,22,22,0,0,0,0
202409,10584,16,16,0,2,0,2
202409,12585,90,29,61,20,0,20
202501,23573,25,21,4,100,0,100
202501,20037,30,30,0,20,1,19
202501,20870,10,4,6,3,0,3
202501,23875,2,2,0,0,0,0
202409,13653,6,0,6,0,0,0
202409,12855,50,39,11,100,0,100
202409,13902,10,0,10,100,0,100
202501,23763,14,11,3,100,0,100
202501,22940,17,25,-8,100,13,87
202501,22000,16,4,12,10,0,10
202409,14243,1,1,0,0,0,0
202501,20585,35,51,-16,0,0,0
202501,22579,9,9,0,0,0,0
202501,22399,80,0,80,0,0,0
202501,20241,60,14,46,100,0,100
202409,13228,211,208,3,75,0,75
202501,20359,20,20,0,4,4,0
202501,23170,50,35,15,100,0,100
202501,23774,10,1,9,100,0,100
202501,23785,10,3,7,100,0,100
202501,21080,33,33,0,0,0,0
202501,22741,35,34,1,0,0,0
202501,23648,25,0,25,0,0,0
202501,22021,110,70,40,100,0,100
202501,20533,37,35,2,15,0,15
202501,20627,150,148,2,40,18,22
202409,13091,40,39,1,100,0,100
202409,12910,35,32,3,0,0,0
202501,23164,20,20,0,100,11,89
202409,12628,40,28,12,20,0,20
202409,10504,30,12,18,4,0,4
202501,20605,64,62,2,10,0,10
